나카,93,167
바자,66,140
아바,65,193
라다,92,143
하가,94,151
가다,66,161
가타,63,155
바라,55,181
다다,69,191
타라,84,198
타라,63,185
마나,83,140
나타,91,153
자하,75,150
라카,65,161
카파,82,187
카카,51,140
사하,43,178
라자,90,157
가자,80,186
나가,63,184
타아,94,194
카파,78,156
가타,64,161
하바,70,170
바타,95,141
다타,64,184
마다,57,175
자라,61,160
파나,49,199
마자,90,195
하바,90,149
하라,87,197
라사,78,161
카자,95,190
타파,74,164
다파,40,162
자아,84,141
타라,93,173
파가,76,188
라아,81,191
카타,43,181
바자,62,180
자카,74,142
다바,65,176
다파,64,170
바카,50,168
카마,56,196
카타,74,182
라타,95,149
사다,84,194
가하,46,168
카사,43,199
타라,96,193
하다,89,143
하타,54,162
카아,48,147
타가,74,166
바타,54,164
하아,52,150
가사,53,174
아나,54,177
타하,52,170
하사,95,145
카나,63,184
마하,82,141
사타,94,145
다파,46,171
가라,83,152
자자,83,172
아카,55,141
타마,56,193
자가,90,191
타마,70,158
바마,94,154
라자,54,164
타라,44,162
사라,88,156
라타,49,149
다마,42,157
파사,52,196
하자,61,173
가마,67,176
라파,43,193
카하,54,140
마라,51,152
타나,80,186
자다,58,174
나마,81,166
가바,85,159
타바,63,155
다사,84,162
다타,89,145
타자,80,152
사다,60,184
자마,59,149
카카,61,189
자나,84,143
파바,51,140
파카,90,149
